indice_tiempo,ventas_precios_corrientes,ventas_precios_constantes,ventas_totales_canal_venta,salon_de_ventas,canales_on_line,ventas_totales_medio_pago,efectivo,tarjetas_debito,tarjetas_credito,otros_medios,ventas_totales_grupos_articulos,subtotal_alimentos_bebidas,bebidas,almacen,panaderia,lacteos,carnes,verduleria_fruteria,articulos_limpieza_perfumeria,indumentaria_calzado_textiles_hogar,electronicos_articulos_hogar,otros
2017-11-01,5305.9960235331,4472.685859801989,5305996.023530001,5279919.098550001,26076.92498,5305996.023530001,3079715.62373,956641.8852799999,608884.40295,660754.1115700001,5305996.0235331,3461355.2274830993,834270.5840899998,2163032.94583,17215.481019000003,324962.44587,92564.1367641,29309.633910000004,1433971.69667,1387.04852,62074.143330000006,347207.90752999997
2017-12-01,6175.5418681227,5141.736888128993,6175541.868119999,6147758.006649999,27783.86147,6175541.868119999,3526004.5405000006,1187173.38369,775295.47944,687068.46449,6175541.868122699,4104804.5260322997,1205993.31603,2384889.8333139997,22104.231073000003,339282.16955999995,118355.85363930002,34179.122416000006,1546348.3068799998,1458.3561104,86809.11404,436121.56506000005
2018-01-01,5019.9119275047,4129.853677324142,5019911.9275,4995862.82816,24049.09934,5019911.9275,2921492.5379500003,930393.42148,638690.25228,529335.71579,5019911.9275047,3140174.118031,673557.2934660001,2027322.9789199997,14126.156635,309589.996353,90568.09429700002,25009.59836,1471234.43292,1506.3632947,72487.019581,334509.993678
2018-02-01,4902.537615389499,3960.043700585858,4902537.61539,4873942.15804,28595.45735,4902537.61539,2682544.80142,1013588.83916,652400.1775899999,554003.7972200001,4902537.615389499,3133231.0608035,668899.45833,2005433.3317000002,13884.238848000003,322834.23608999996,96542.5671795,25637.228656,1389429.06562,1196.8946389999999,63892.89094699999,314787.70338
2018-03-01,5867.565712690001,4626.94803717711,5867565.71269011,5847542.4901,20023.22259011,5867565.71269011,3194415.5276799994,1129464.2838,864786.7117299999,678899.18948,5867565.71269,3833930.08412,728166.2567,2556515.9583,16273.413919999999,390330.00922999997,114644.73825,27999.70772,1584679.2297399999,1151.0243600000001,64280.38955000001,383524.98491999996
2018-04-01,5545.5208673159,4272.039996220851,5545520.867319999,5511048.3669799995,34472.500340000006,5545520.867319999,3111617.75457,1026663.24591,779443.0934600001,627796.7733800001,5545520.8673159005,3640008.4939000006,677726.53488,2454916.90474,14833.46369,359304.40514000005,104285.30984,28941.875610000003,1496972.5855899998,1323.5549839,65926.018522,341290.21432
2018-05-01,5887.472189364001,4375.986575547154,5887472.189360001,5865349.676460001,22122.5129,5887472.189360001,3215948.78201,1132611.70105,836351.11623,702560.5900699999,5887472.189363999,3840571.3159100004,670766.8575499998,2645471.7900500004,15843.638390000002,373157.81804,105949.37128999998,29381.84059,1605054.6162099997,1299.271174,82270.88172,358276.10435000004
2018-06-01,6197.442858681575,4373.019834746315,6197442.85868,6170673.700449999,26769.15823,6197442.85868,3431099.49798,1184492.5478800002,910741.1684200001,671109.6444,6197442.858681574,4063881.7912254003,715433.4331899001,2794047.324108,16652.893040000003,397451.95618750004,110049.21292999998,30246.971769999996,1647645.7058410002,1397.835250946,101863.96142142682,382653.56494280207
2018-07-01,6667.170489939,4526.763443661986,6667170.48994,6641294.786479999,25875.70346,6667170.48994,3845236.2403900004,1216320.23916,839135.3399299999,766478.6704599999,6667170.4899389995,4451274.990899,783651.77395,3092242.1063400004,17124.158459000002,410177.86730000004,116062.44997999999,32016.634869999998,1738813.16569,1555.0587899999998,75646.60876999999,399880.66579
2018-08-01,6587.856253858876,4331.598474874302,6587856.25386,6554944.45331,32911.80055,6587856.25386,3725615.1673199995,1162261.3974600001,940576.31121,759403.3778699999,6587856.2538588755,4311038.34828762,752154.1769940271,2961035.633227,17662.436029999997,428448.2872275923,119036.99377900001,32700.821030000006,1793279.62756,1496.7823220141,75004.40968673269,407037.086002512
2018-09-01,6228.742403882891,3731.3015804116462,6228742.40388,6198759.69101,29982.712869999996,6228742.40388,3391683.16199,1263069.52062,1032304.2213,541685.49997,6228742.403882891,4088662.069142512,715615.3087209121,2765243.315223,17993.06587,432645.9160886,123330.02416,33834.43908,1685320.5075019998,1828.5461794316,68926.12941048,384005.151648468
2018-10-01,6825.887000505431,3848.5203924548496,6825887.00051,6796312.41061,29574.5899,6825887.00051,3838373.49756,1210782.2718300002,1036840.1870900001,739891.04403,6825887.000505432,4427537.666856502,884681.855036502,2917886.9698019996,19100.16891,444279.248168,127190.01224,34399.4127,1923134.4610220003,1759.8935247898,75285.84871977,398169.13038237
2018-11-01,7040.86690758322,3818.310127617173,7040866.90758,7008829.5501500005,32037.35743,7040866.90758,3793250.0405300003,1282689.22935,1126938.64874,837988.9889599999,7040866.90758322,4616246.075919855,1029215.790984356,2971435.108577,21213.41624,437923.6299284999,120259.11702,36199.013170000006,1914278.600558,1602.4647456510002,82803.97594570598,425935.79041400703
2018-12-01,8526.440369829912,4511.833529717119,8526440.36983,8486740.75543,39699.6144,8526440.36983,4630614.613339999,1693692.0507999999,1224498.3494099998,977635.35628,8526440.369829912,5649573.680354253,1574544.7084762529,3390402.823419,26491.46643,470070.23887899995,147661.087,40403.35615,2179925.727219,1854.154403105,135875.98416335302,559210.8236902
2019-01-01,6886.631597860279,3502.5332455119888,6886631.597859999,6831219.635229999,55411.96263,6886631.597859999,3751522.9048900004,1254395.8043499999,1015024.2381300001,865688.65049,6886631.597860279,4252959.129210087,889698.998243787,2784987.85764,16922.11607,425136.9781463,108020.71267000001,28192.466439999997,2123809.679772,1680.9850081980003,95126.47669725001,413055.327172745
2019-02-01,7043.166156555856,3467.046258270941,7043166.156559999,7003900.661329999,39265.49523000001,7043166.156559999,3807945.4208799996,1311341.8014500001,1017828.06026,906050.8739700002,7043166.156555856,4423846.807316144,875896.892067244,2943805.112198,16823.54956,440931.37218090007,116225.90818999999,30163.973120000002,2114313.303448,1630.7699830929998,78747.7041684,424627.57164022
2019-03-01,8185.419334944163,3888.3036926485292,8185419.334940001,8171337.070580001,14082.26436,8185419.334940001,4291522.27551,1599989.93789,1258626.8232,1035280.2983399999,8185419.3349441625,5271403.84005484,942594.61212874,3577653.3165439996,20263.90163,547351.0501220999,148554.28223,34986.6774,2318817.36416,1633.8845109205,84701.381184409,508862.8650339929
2019-04-01,8112.0115658113955,3717.454535934446,8112011.565809998,8077563.235779998,34448.330030000005,8112011.565809998,4268446.48463,1483724.09135,1233958.37087,1125882.6189600003,8112011.565811396,5169418.956177605,931613.1432198049,3513447.940646,19010.13497,545868.9920118,130686.73266000001,28792.01267,2345770.572127,1779.6667499540004,89597.58879351,505444.781963329
2019-05-01,8588.679594046951,3783.9593591757816,8588679.59405,8542835.679779999,45843.914269999994,8588679.59405,4483472.29239,1540621.83814,1274186.7584620002,1290398.70506,8588679.59404695,5510796.86872792,944847.4447341195,3791944.5071,19206.39706,612356.9890238,125220.84474,17220.68607,2498821.1450699996,2795.0919524829997,99910.98257279999,476355.5057237508
2019-06-01,8860.50046224478,3783.5903656056184,8860500.462240001,8787868.274470001,72632.18777,8860500.462240001,4540841.21012,1736059.7191199998,1305387.76185,1278211.7711500002,8860500.462244779,5709546.918958334,945440.1557099342,3965181.1780990004,20131.734389999998,634150.9506394,126170.17557,18472.72455,2534728.6878521005,2763.8079034340003,123461.71134939,489999.33618152305
2019-07-01,9146.815244821786,3825.6584179524666,9146815.24482,9059386.23694,87429.00787999999,9146815.24482,4759759.40239,1735774.9585299997,1222648.2776699997,1428632.60623,9146815.244821787,5853783.362445088,992115.2334464882,4073419.1161699994,19093.95681,621666.8542286,128557.63610999999,18930.56568,2611294.2115903003,2695.7527472790002,162132.53563518001,516909.38240393996
2019-08-01,9759.826281650143,3897.812911313546,9759826.281650003,9653831.711170003,105994.57048000001,9759826.281650003,4839354.619790001,1975139.80238,1582030.5424600001,1363301.3170200002,9759826.281650143,6446224.70027176,1000828.5119456598,4608835.814535,21437.17479,648000.1829010999,145708.62445,21414.391649999998,2672225.430817,2143.296754516,131656.146317559,507576.707489306
2019-09-01,9696.83909682787,3613.108510864461,9696839.096830001,9576278.3166,120560.78023,9696839.096830001,4904551.21215,1793748.6231600002,1555553.6395400001,1442985.6219799998,9696839.09682787,6199990.2149942415,990969.3697371404,4355855.810462,21457.63245,664708.7157150999,146363.94139,20634.745239999997,2823759.3213190003,2505.220953434,154919.6805622,515664.658999
2019-10-01,11004.84125588146,3984.2662593417085,11004841.255879998,10962407.692699999,42433.56318,11004841.255879998,5355559.091599999,2082957.0780899997,1802947.4131499997,1763377.67304,11004841.25588146,6987586.059007876,1262845.3079451043,4781868.390864,23394.999310000003,739381.355998771,158337.36283,21758.64206,3202505.19618,2948.2146820870003,230350.1094115,581451.6766
2019-11-01,11382.609489528393,3974.8435196452974,11382609.48953,11299836.15374,82773.33579000001,11382609.48953,5462804.758919999,2094276.8444900003,1882733.0676400003,1942794.8184800001,11382609.489528393,7244428.323470846,1519433.8023208762,4848865.209883999,26998.03944,670188.53239597,156887.09797,22055.64146,3265783.8672120003,2703.851771436,260444.51792011,609248.9291540001
